SO2,CO,O3,PM10,PM2.5,NOx,NO,NO2,THC,NMHC,CH4,UVB,AMB_TEMP,RAINFALL,RH,WIND_SPEED,WIND_DIREC,WS_HR,WD_HR,PH_RAIN,RAIN_COND,DATE,STATION
2.3000000000000003,1.8045833333333334,0,80.41666666666667,44.625,137.58333333333334,90.41666666666667,47.208333333333336,2.820833333333333,0.7358333333333333,2.075,0,15.666666666666666,0.0,67.91666666666667,0,0,0,0,0,0,2012/1/1,67
3.1750000000000003,1.7029166666666662,0,98.0,51.75,131.20833333333334,86.41666666666667,44.833333333333336,2.8083333333333336,0.7629166666666665,2.058333333333334,0,16.083333333333332,0.0,58.958333333333336,0,0,0,0,0,0,2012/1/2,67
2.783333333333333,1.5662500000000001,0,52.916666666666664,23.875,111.375,71.29166666666667,40.0,2.733333333333333,0.7274999999999999,1.9999999999999998,0,16.75,0.0,70.66666666666667,0,0,0,0,0,0,2012/1/3,67
4.3,1.7058333333333333,0,59.291666666666664,31.416666666666668,137.58333333333334,100.75,37.083333333333336,2.5250000000000004,0.6716666666666665,1.8583333333333336,0,11.233333333333334,0.11666666666666665,72.33333333333333,0,0,0,0,0,0,2012/1/4,67
3.4625,1.7212499999999997,0,40.291666666666664,22.666666666666668,133.75,94.66666666666667,39.125,2.7249999999999996,0.6912500000000001,2.0375,0,12.5,0.3916666666666666,81.54166666666667,0,0,0,0,0,0,2012/1/5,67
3.720833333333333,2.9720833333333343,0,41.125,24.791666666666668,244.875,194.16666666666666,50.708333333333336,3.554166666666667,1.3195833333333333,2.2333333333333334,0,15.541666666666666,1.0583333333333333,88.25,0,0,0,0,0,0,2012/1/6,67
1.7291666666666667,1.3774999999999997,0,33.833333333333336,12.416666666666666,83.79166666666667,50.875,32.875,2.5750000000000006,0.5820833333333334,1.9958333333333333,0,16.541666666666668,0.0,80.04166666666667,0,0,0,0,0,0,2012/1/7,67
1.6541666666666661,2.6966666666666668,0,59.708333333333336,32.166666666666664,181.875,134.375,47.916666666666664,3.266666666666666,1.154583333333333,2.1,0,18.041666666666668,0.0,81.08333333333333,0,0,0,0,0,0,2012/1/8,67
1.3749999999999998,1.6912500000000001,0,37.458333333333336,17.458333333333332,115.70833333333333,79.66666666666667,36.125,2.741666666666667,0.7333333333333334,2.004166666666667,0,17.583333333333332,0.0,76.79166666666667,0,0,0,0,0,0,2012/1/9,67
2.1166666666666667,1.9262500000000002,0,62.041666666666664,33.916666666666664,123.91666666666667,84.91666666666667,39.0,2.816666666666667,0.7745833333333333,2.0375,0,18.291666666666668,0.0,68.20833333333333,0,0,0,0,0,0,2012/1/10,67
2.475,1.9216666666666662,0,81.66666666666667,50.416666666666664,137.04166666666666,94.83333333333333,42.25,2.8166666666666664,0.7595833333333332,2.0625000000000004,0,16.375,0.0,63.5,0,0,0,0,0,0,2012/1/11,67
5.325,1.675,0,73.45833333333333,41.375,111.54166666666667,73.5,38.083333333333336,2.683333333333333,0.6558333333333334,2.0416666666666665,0,16.625,0.0,70.91666666666667,0,0,0,0,0,0,2012/1/12,67
4.937499999999999,2.2308333333333334,0,49.458333333333336,22.541666666666668,149.20833333333334,108.375,40.75,3.129166666666667,0.97625,2.1458333333333335,0,18.5,0.0,78.70833333333333,0,0,0,0,0,0,2012/1/13,67
4.8916666666666675,2.1566666666666667,0,50.083333333333336,25.833333333333332,145.91666666666666,103.41666666666667,42.75,2.9,0.8441666666666666,2.0541666666666667,0,20.166666666666668,0.075,81.70833333333333,0,0,0,0,0,0,2012/1/14,67
2.8250000000000006,2.0866666666666664,0,39.791666666666664,20.833333333333332,143.08333333333334,104.79166666666667,38.208333333333336,2.983333333333333,0.8641666666666666,2.108333333333334,0,18.416666666666668,0.21666666666666667,84.66666666666667,0,0,0,0,0,0,2012/1/15,67
3.2916666666666665,1.8808333333333331,0,37.875,19.708333333333332,153.75,114.79166666666667,39.166666666666664,2.741666666666667,0.7425,1.9958333333333333,0,15.875,0.625,82.83333333333333,0,0,0,0,0,0,2012/1/16,67
3.195833333333333,2.0208333333333335,0,49.708333333333336,24.041666666666668,158.125,114.91666666666667,43.25,2.995833333333333,0.8770833333333333,2.129166666666667,0,18.0,0.0,66.45833333333333,0,0,0,0,0,0,2012/1/17,67
3.8874999999999997,2.4625,0,65.91666666666667,33.375,198.45833333333334,141.875,56.75,3.2541666666666664,1.0908333333333335,2.1833333333333336,0,19.375,0.0,66.91666666666667,0,0,0,0,0,0,2012/1/18,67
3.9583333333333335,2.262083333333333,0,71.04166666666667,40.875,156.70833333333334,110.79166666666667,45.916666666666664,3.0208333333333335,0.92875,2.0875000000000004,0,18.458333333333332,0.0,74.95833333333333,0,0,0,0,0,0,2012/1/19,67
2.145833333333333,2.055,0,57.125,34.208333333333336,116.75,75.08333333333333,41.666666666666664,2.875,0.8075,2.087500000000001,0,17.458333333333332,0.0,72.25,0,0,0,0,0,0,2012/1/20,67
